Publication Type,Authors,Article Title,Source Title,Publication Year,DOI
J,"Jia, JJ; Xu, JH; Fan, Y",The impact of verified emissions announcements. on the European Union emissions trading scheme: A bilaterally modified dummy variable modelling analysis,APPLIED ENERGY,2016,10.1016/j.apenergy.2016.04.027
J,"Aatola, P; Ollikainen, M; Toppinen, A",Price determination in the EU ETS market: Theory and econometric analysis with market fundamentals,ENERGY ECONOMICS,2013,10.1016/j.eneco.2012.09.009
J,"García, A; Jaramillo-Morán, MA",SHORT-TERM EUROPEAN UNION ALLOWANCE PRICE FORECASTING WITH ARTIFICIAL NEURAL NETWORKS,ENTREPRENEURSHIP AND SUSTAINABILITY ISSUES,2020,10.9770/jesi.2020.8.1(18)
J,"Löfgren, Å; Wråke, M; Hagberg, T; Roth, S",Why the EU ETS needs reforming: an empirical analysis of the impact on company investments,CLIMATE POLICY,2014,10.1080/14693062.2014.864800
J,"Basaglia, P; Grunau, J; Drupp, MA",The European Union Emissions Trading System might yield large co-benefits from pollution reduction,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2024,10.1073/pnas.2319908121
J,"Moreno, B; da Silva, PP",How do Spanish polluting sectors' stock market returns react to European Union allowances prices? A panel data approach,ENERGY,2016,10.1016/j.energy.2016.02.094
J,"Wolff, G; Feuerriegel, S",Emissions Trading System of the European Union: Emission Allowances and EPEX Electricity Prices in Phase III,ENERGIES,2019,10.3390/en12152894
J,"Miard, K",Lobbying During the Revision of the EU Emissions Trading System: Does EU Membership Influence Company Lobbying Strategies?,JOURNAL OF EUROPEAN INTEGRATION,2014,10.1080/07036337.2013.809343
J,"Moreno, B; García-Alvarez, MT; Fonseca, AR",Fuel prices impacts on stock market of metallurgical industry under the EU emissions trading system,ENERGY,2017,10.1016/j.energy.2017.02.067
J,"Tian, Y; Akimov, A; Roca, E; Wong, V",Does the carbon market help or hurt the stock price of electricity companies? Further evidence from the European context,JOURNAL OF CLEANER PRODUCTION,2016,10.1016/j.jclepro.2015.07.028
J,"Batten, JA; Maddox, GE; Young, MR","Does weather, or energy prices, affect carbon prices?",ENERGY ECONOMICS,2021,10.1016/j.eneco.2020.105016
J,"Patnaik, S",Emissions permit allocation and strategic firm behavior: Evidence from the oil sector in the European Union emissions trading scheme,BUSINESS STRATEGY AND THE ENVIRONMENT,2020,10.1002/bse.2411
